id,filename,ethnicity,age_group,gender
1,img001.png,Northern European,13-17,female
2,img002.png,Northern European,13-17,female
3,img003.png,Northern European,13-17,female
4,img004.png,Northern European,13-17,male
5,img005.png,Northern European,13-17,female
6,img006.png,Northern European,13-17,female
7,img007.png,Northern European,13-17,female
8,img008.png,Northern European,13-17,female
9,img009.png,Northern European,13-17,female
10,img010.png,Northern European,13-17,female
11,img011.png,Northern European,13-17,male
12,img012.png,Northern European,13-17,male
13,img013.png,Northern European,13-17,female
14,img014.png,Northern European,13-17,female
15,img015.png,Northern European,13-17,male
16,img016.png,Northern European,13-17,female
17,img017.png,Northern European,13-17,male
18,img018.png,Northern European,13-17,male
19,img019.png,Northern European,13-17,male
20,img020.png,Northern European,13-17,male
21,img021.png,Northern European,13-17,female
22,img022.png,Northern European,13-17,female
23,img023.png,Northern European,13-17,female
24,img024.png,Northern European,13-17,female
