id,filename,ethnicity,age_group,gender
1,img001.png,Indian,41plus,female
2,img002.png,Indian,41plus,male
3,img003.png,Indian,41plus,male
4,img004.png,Indian,41plus,male
5,img005.png,Indian,41plus,male
6,img006.png,Indian,41plus,female
7,img007.png,Indian,41plus,female
8,img008.png,Indian,41plus,female
9,img009.png,Indian,41plus,male
10,img010.png,Indian,41plus,female
11,img011.png,Indian,41plus,female
12,img012.png,Indian,41plus,female
13,img013.png,Indian,41plus,male
14,img014.png,Indian,41plus,female
15,img015.png,Indian,41plus,female
16,img016.png,Indian,41plus,male
17,img017.png,Indian,41plus,female
18,img018.png,Indian,41plus,male
19,img019.png,Indian,41plus,male
