id,filename,ethnicity,age_group,gender
1,img001.png,Arabic,13-17,Unknown
2,img002.png,Arabic,13-17,Unknown
3,img003.png,Arabic,13-17,Unknown
4,img004.png,Arabic,13-17,Unknown
5,img005.png,Arabic,13-17,Unknown
6,img006.png,Arabic,13-17,Unknown
7,img007.png,Arabic,13-17,Unknown
8,img008.png,Arabic,13-17,Unknown
9,img009.png,Arabic,13-17,Unknown
10,img010.png,Arabic,13-17,Unknown
11,img011.png,Arabic,13-17,Unknown
12,img012.png,Arabic,13-17,Unknown
13,img013.png,Arabic,13-17,Unknown
14,img014.png,Arabic,13-17,Unknown
15,img015.png,Arabic,13-17,Unknown
16,img016.png,Arabic,13-17,Unknown
17,img017.png,Arabic,13-17,Unknown
18,img018.png,Arabic,13-17,Unknown
19,img019.png,Arabic,13-17,Unknown
20,img020.png,Arabic,13-17,Unknown
